Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.9399218246,4.40244694023,0.00204887241043,0.0,4.58992532963,8.1892,64.0784054777,53.81088454,3.33988,6.92764093764
 01/01  02:00:00,14.7382771466,0.0,0.0,0.0,1.52997510988,7.4902,3.93193716539,0.0,3.33988,0.592057165388
 01/01  03:00:00,14.763776614,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  04:00:00,14.7823380295,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.9456238554,0.0,0.0,0.0,1.52997510988,7.4902,3.93194309249,0.0,3.33988,0.592063092488
 01/01  06:00:00,23.0926573245,4.40244694023,0.0,0.0,4.58992532963,8.1892,57.4248224803,49.0551224803,8.3497,0.02
 01/01  07:00:00,39.0624160102,4.40244694023,0.018737583938,0.0,9.17985065927,19.4245,64.0784068212,42.7651759214,16.6994,4.61383089975
 01/01  08:00:00,46.5289152887,4.40244694023,0.0154684696578,0.0,9.17985065927,26.9147,60.31792258,30.6558101618,25.0491,4.61301241812
 01/01  09:00:00,42.2986657717,4.40244694023,0.00440373101963,0.0,9.17985065927,26.9147,66.6101627912,28.5988717766,33.3988,4.61249101467
 01/01  10:00:00,34.8215165984,4.40244694023,0.0,0.0,9.17985065927,19.4245,60.0444325633,30.9555589592,25.0491,4.03977360407
 01/01  11:00:00,42.3611914419,4.40244694023,0.0261935065809,0.0,9.17985065927,26.9147,79.6201240082,23.3643840002,41.7485,14.507240008
 01/01  12:00:00,43.0830187631,4.40244694023,0.0,0.0,9.17985065927,26.9147,71.4574515535,15.7793641592,41.7485,13.9295873942
