Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
01/01 1:00:00,22.03597732,3.586220833,0,0,4.58992533,8.1892,136.5859027,123.9990759,3.33988,9.246946778
01/01 2:00:00,14.64975748,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
01/01 3:00:00,14.66956666,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
01/01 4:00:00,14.67780801,0,0,0,1.52997511,7.4902,3.931931506,0,3.33988,0.5920515062
01/01 5:00:00,14.8247939,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
01/01 6:00:00,22.18264867,3.586220833,0.0131971789,0,4.58992533,8.1892,130.5649421,121.6231847,8.3497,0.5920574407
01/01 7:00:00,38.13184509,3.586220833,0.00737103622,0,9.179850659,19.4245,140.4354538,117.967915,16.6994,5.768138785
01/01 8:00:00,45.59727804,3.586220833,0.007450454092,0,9.179850659,26.9147,135.4560171,105.2134576,25.0491,5.193459464
01/01 9:00:00,45.60364653,3.586220833,0,0,9.179850659,26.9147,145.5750769,106.4078096,33.3988,5.768467288
01/01 10:00:00,38.11376101,3.586220833,0,0,9.179850659,19.4245,147.6959009,116.8790141,25.0491,5.767786783
01/01 11:00:00,42.4352012,3.586220833,0.008012797592,0,9.179850659,26.9147,177.5022984,117.6999854,41.7485,18.05381301
01/01 12:00:00,42.1437099,3.586220833,0,0,9.179850659,26.9147,176.3227494,115.9380379,41.7485,18.63621145
01/01 13:00:00,41.41962073,3.586220833,0,0,9.179850659,26.9147,167.5286575,111.2660792,41.7485,14.51407826
01/01 14:00:00,33.89704606,3.586220833,0,0,9.179850659,19.4245,158.680649,110.7681901,33.3988,14.51365892
01/01 15:00:00,33.89764389,3.586220833,0,0,9.179850659,19.4245,153.2839968,117.239112,25.0491,10.9957848
01/01 16:00:00,36.00133359,3.586220833,0,0,9.179850659,19.4245,167.3348971,122.9381038,33.3988,10.99799331
01/01 17:00:00,45.54644716,3.586220833,0.005751574239,0,9.179850659,26.9147,185.4351957,124.3394303,50.0982,10.99756538
01/01 18:00:00,45.55135973,3.586220833,0,0,9.179850659,26.9147,190.0373937,125.4255895,50.0982,14.51360419
01/01 19:00:00,45.55679431,3.586220833,0,0,9.179850659,26.9147,193.6670575,124.9314663,50.0982,18.63739126
01/01 20:00:00,38.19976737,3.586220833,0,0,9.179850659,19.4245,172.867008,121.4151244,33.3988,18.0530836
01/01 21:00:00,38.18202589,3.586220833,0,0,9.179850659,19.4245,167.0888198,119.1771374,33.3988,14.5128824
