Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,49.7663221082,4.93172712481,0.0184140803605,14.2493210366,12.925468867,10.100111941,65.6273767706,59.8518123798,0.0,5.7755643908
 01/01  02:00:00,49.0527739641,4.92248450024,0.0167656663259,13.5479822284,12.925468867,10.100111941,60.2891926679,54.5225450246,0.0,5.76664764327
 01/01  03:00:00,45.6644168421,4.95027839708,0.00869215071231,14.7589421591,8.34152022915,10.0650221343,54.9688954405,54.9488954405,0.0,0.02
 01/01  04:00:00,46.4704057668,4.96653890671,0.00332204956026,15.554039442,8.34152022915,10.0650221343,62.288919137,56.5223270796,0.0,5.7665920574
 01/01  05:00:00,48.4043676052,4.97314094774,3.30960792018e-05,15.8778712997,8.34152022915,11.6705166398,63.4972427933,57.7215099391,0.0,5.77573285428
 01/01  06:00:00,52.7616967358,4.97776905147,0.0,16.0720968586,8.80141237637,15.3678112995,69.2846039281,57.7358622744,0.0,11.5487416537
 01/01  07:00:00,70.7867110082,4.93226377036,0.00197040613464,14.1636447608,18.5082010057,25.6353820695,68.9951142159,57.4116672688,0.0,11.5834469471
 01/01  08:00:00,83.351050148,4.84944618157,0.0290301054475,10.3279553625,19.4926561212,41.1001056674,72.3127957685,54.8153102077,0.0,17.4974855608
 01/01  09:00:00,103.313203061,4.76824269679,0.141532670802,6.50064860304,26.3286599382,57.9988325916,94.9823371872,47.0671552357,0.0,47.9151819515
 01/01  10:00:00,92.3171641157,4.82344624784,1.66684167945,9.19851771405,26.2443270014,42.8153538416,107.403463493,47.7842110554,18.025,41.5942524372
 01/01  11:00:00,67.0967431668,4.91173479727,1.76867995696,13.3151861985,21.7447113004,23.4437158914,103.806497363,50.2859208746,18.025,35.4955764888
 01/01  12:00:00,63.2557704673,4.9205355881,1.75941088978,13.7611207833,19.3449162599,23.4437158914,98.2329396821,50.7222251482,18.025,29.4857145339
 01/01  13:00:00,63.0340968653,4.91555655579,1.59601813081,13.5660547907,19.190480192,23.7425572507,97.8601315109,50.4361776974,18.025,29.3989538135
 01/01  14:00:00,62.738611474,4.90913236276,1.63518405253,13.2117077879,19.260583323,23.698576057,89.0771814807,47.5368115595,18.025,23.5153699212
 01/01  15:00:00,63.2816873444,4.91992535363,1.62726062988,13.7519144859,19.260583323,23.698576057,96.0542978766,48.636730563,18.025,29.3925673136
 01/01  16:00:00,67.8483394502,4.94404820067,1.60509379866,14.8385593768,19.260583323,23.4086260847,99.2694046686,51.8509025506,18.025,29.393502118
 01/01  17:00:00,76.1231433588,4.96441102259,0.708803827086,15.7699532727,19.260583323,27.8781056672,77.654962777,53.855846542,18.025,5.774116235
 01/01  18:00:00,82.4558276033,4.92593149597,0.0178509832071,14.2093896652,18.1807569449,37.5792895564,68.7859379493,57.2375587897,0.0,11.5483791596
 01/01  19:00:00,93.7887501325,4.86707960183,0.0374846809648,11.6877524349,32.6059821062,37.0465235296,69.1303301445,63.3371548003,0.0,5.79317534419
 01/01  20:00:00,91.5738680794,4.81692565096,0.0510332961347,9.27798026003,36.8143715336,33.066984531,79.5605122136,62.1709067233,0.0,17.3896054902
 01/01  21:00:00,94.8901016629,4.78026973704,0.113790117456,7.20861278292,36.43363367,38.8072253906,74.2358289334,62.6368236509,0.0,11.5990052825
 01/01  22:00:00,93.0371884332,4.79032764008,0.137960192113,7.67818092783,36.0963922311,36.7877557581,77.5108538482,65.9099844012,0.0,11.600869447
 01/01  23:00:00,75.6534012362,4.86326568146,0.0419388163999,11.6367836552,30.9507766546,20.6087787026,86.1479280157,68.6488998625,0.0,17.4990281531
 01/01  24:00:00,57.3961476822,4.95135248889,0.0199179906967,15.7489363539,17.4250845679,11.7056064465,81.9352764176,70.3511368137,0.0,11.5841396039
